PROGRAM,POSITION,ERROR,WELD_SPEED,COMMAND_CURRENT,CURRENT_OUTPUT,COMMAND_VOLTAGE,VOLTAGE_OUTPUT,SHORT_COUNT,PULSE_FREQUENCY,MOTOR_CURRENT,WIRE_SPEED,INSTANT_ARC_LACK_TIME,TIMESTAMP
SALDATURA OP1,P103,N,0.9,190,194,17,16.3,47,809,0.47,10.45,0,1568840288
SALDATURA OP2,P050,N,0.8,150,0,16.3,0,35,311,0.07,0,0,1568861430
SALDATURA OP2,P050,N,0.8,150,0,16.3,0,26,311,0.09,0,0,1568861530
SALDATURA OP1,P004,N,0.8,220,220,18,17.2,96,79,2.2,13.3,0,1568818452
SALDATURA OP2,P086,N,0.4,120,0,16.5,3.9,7,102,0.03,2,0,1568831034
SALDATURA OP2,P013,N,0.8,220,209,18,18.2,86,352,0.94,13.3,0,1568304410
SALDATURA OP2,P086,N,0.4,120,0,16.5,13.7,0,102,0.08,2,0,1568831234
SALDATURA OP2,P086,N,0.4,120,0,16.5,13.7,0,102,0.06,2,0,1568831334
SALDATURA OP2,P086,N,0.4,120,24,16.5,11.9,1,21,0.08,5.28,0,1568831434
SALDATURA OP1,P032,N,0.8,220,222,18,16.9,96,75,1.4,13.3,0,1568829690
SALDATURA OP2,P075,N,0.8,220,207,18,18.7,89,70,1.37,13.3,0,1568311774
SALDATURA OP2,P044,N,0.8,220,218,18,17.6,98,88,0.29,13.3,0,1568845521
SALDATURA OP1,P063,N,0.8,220,205,18,18.2,75,71,0.6,13.3,0,1568286790
SALDATURA OP2,P084,N,0.72,240,194,20,20.1,34,117,1.41,14,0,1568831927
SALDATURA OP1,P012,N,0.7,80,128,14.4,15,65,57,0.43,3.17,0,1568840282
SALDATURA OP2,P086,N,0.4,120,124,16.5,17.4,31,44,0.11,5.28,0,1568832134
SALDATURA OP2,P086,N,0.4,120,122,16.5,17.5,36,48,0.34,5.28,0,1568832234
SALDATURA OP1,P065,N,0.4,120,0,16.5,1.2,21,332,0.06,2,0,1568300651
SALDATURA OP2,P060,N,0.72,230,135,19.6,15.4,17,75,0.21,14,0,1568821675
SALDATURA OP2,P086,N,0.4,120,118,16.5,17.2,47,46,0.4,5.28,0,1568832534
SALDATURA OP1,P009,N,0.8,220,215,18,17.1,94,419,2.11,13.3,0,1568829052
SALDATURA OP1,P033,N,0.8,220,220,18,16.7,100,276,1.18,13.3,0,1568835063
SALDATURA OP1,P010,N,0.8,220,217,18,19,92,106,2.91,13.3,0,1568840242
SALDATURA OP2,P087,N,0.5,120,113,16.5,16.9,47,44,0.31,5.28,0,1568832934
SALDATURA OP2,P038,N,0.8,220,220,18,17.1,93,95,0.14,13.3,0,1568836491
SALDATURA OP2,P087,N,0.5,120,109,16.5,16,46,43,0.26,5.28,0,1568833134
SALDATURA OP2,P006,N,0.8,220,210,18,18.3,91,105,0.56,13.3,0,1568301592
SALDATURA OP1,P056,N,0.72,230,180,19.6,17.5,33,84,1.66,14,0,1568303001
SALDATURA OP2,P087,N,0.5,120,113,16.5,16.4,44,44,0.05,5.28,0,1568833434
SALDATURA OP2,P087,N,0.5,120,111,16.5,16.4,45,44,0.32,5.28,0,1568833534
SALDATURA OP1,P062,N,0.8,220,219,18,18,92,70,0.04,13.3,0,1568843861
SALDATURA OP2,P008,N,0.8,220,208,18,18.3,83,70,1.65,13.3,0,1568827903
SALDATURA OP2,P088,N,0.5,80,109,14.4,16,44,44,0.2,0,0,1568833834
SALDATURA OP1,P056,N,0.72,230,232,19.6,17.4,115,265,1.54,14,0,1568816265
SALDATURA OP2,P044,N,0.8,220,222,18,16.5,104,541,0.09,13.3,0,1568834470
SALDATURA OP2,P066,N,0.5,150,0,14.4,0,31,40,0.06,0,0,1568834134
SALDATURA OP1,P109,N,0.8,220,12,18,12.5,32,67,0.08,2,0,1568302014
SALDATURA OP2,P068,N,0.5,150,0,14.4,0,22,40,0.04,0,0,1568834334
SALDATURA OP2,P076,N,0.5,150,0,14.4,0,18,40,0.04,0,0,1568834434
SALDATURA OP2,P076,N,0.5,150,0,14.4,0,13,40,0.05,0,0,1568834534
SALDATURA OP2,P039,N,0.8,220,224,18,17.5,94,2423,0.62,13.3,0,1568312325
SALDATURA OP2,P038,N,0.8,220,226,18,17.2,98,89,1.01,13.3,0,1568830128
SALDATURA OP1,P027,N,0.8,220,0,18,13,14,67,0.06,2,0,1568830836
SALDATURA OP2,P116,N,0.8,220,221,18,18.9,96,73,2.38,13.3,0,1568836524
SALDATURA OP2,P038,N,0.8,220,225,18,16.1,96,458,0.54,13.3,0,1568829540
SALDATURA OP2,P075,N,0.8,220,216,18,18.7,89,868,1.72,13.3,0,1568844173
SALDATURA OP1,P080,N,0.8,220,217,18,18.5,92,78,0.43,13.3,0,1568843663
SALDATURA OP1,P032,N,0.8,220,228,18,16.3,95,74,1.67,13.3,0,1568307111
SALDATURA OP1,P032,N,0.8,220,229,18,16.1,103,1553,2.06,13.3,0,1568827887
SALDATURA OP2,P111,N,0.8,220,229,18,16.8,105,144,1.61,13.3,0,1568311985
SALDATURA OP1,P038,N,0.8,220,229,18,15.8,114,402,1.34,13.3,0,1568310084
SALDATURA OP1,P108,N,0.8,150,0,14.4,0,32,72,0.12,7.46,0,1568831736
SALDATURA OP1,P065,N,0.4,120,119,16.5,13.5,15,56,0.22,5.28,0,1568814827
SALDATURA OP2,P111,N,0.8,220,222,18,16.7,97,423,2.08,13.3,0,1568839395
SALDATURA OP2,P045,N,0.8,220,219,18,17.8,96,119,2.35,13.3,0,1568845270
SALDATURA OP1,P088,N,0.8,220,0,18,13.3,0,45,0.07,2,0,1568297086
SALDATURA OP2,P107,N,0.8,220,224,18,17.3,99,82,2.84,13.3,0,1568298705
SALDATURA OP1,P102,N,0.5,190,201,17,16.4,68,84,0.29,10.45,15,1568819314
SALDATURA OP2,P038,N,0.8,220,226,18,16.4,108,210,0.38,13.3,0,1568312196
SALDATURA OP2,P045,N,0.8,220,222,18,17.9,97,80,1.04,13.3,0,1568845305
SALDATURA OP2,P043,N,0.8,220,218,18,17.3,103,286,2.06,13.3,0,1568857406
SALDATURA OP2,P035,N,0.8,220,225,18,16.6,103,72,1.8,13.3,0,1568303425
SALDATURA OP2,P086,N,0.4,120,126,16.5,16.3,32,53,0.42,5.28,0,1568816980
SALDATURA OP2,P086,N,0.4,120,129,16.5,16.4,37,51,0.21,5.28,0,1568817080
SALDATURA OP2,P086,N,0.4,120,126,16.5,16.7,42,54,0.35,5.28,0,1568817180
SALDATURA OP2,P044,N,0.8,220,219,18,17.9,93,85,2.14,13.3,0,1568846764
SALDATURA OP2,P086,N,0.4,120,125,16.5,16.8,51,55,0.33,5.28,0,1568817380
SALDATURA OP2,P009,N,0.8,220,212,18,17.9,80,77,0.97,13.3,0,1568307741
SALDATURA OP1,P088,N,0.8,220,70,18,11.5,2,34,0.07,13.3,0,1568297386
SALDATURA OP2,P009,N,0.8,220,211,18,18.2,77,79,0.08,13.3,0,1568308693
SALDATURA OP2,P045,N,0.8,220,220,18,18.2,98,120,2.39,13.3,0,1568852906
SALDATURA OP2,P116,N,0.8,220,225,18,17.7,98,81,0.72,13.3,0,1568827744
SALDATURA OP1,P096,N,0.8,220,216,18,18.2,101,87,1.97,13.3,0,1568833727
SALDATURA OP2,P077,N,0.9,190,0,18,0.5,0,49,0.04,2,0,1568813948
SALDATURA OP1,P039,N,0.8,220,223,18,16.9,90,246,1.59,13.3,0,1568841741
SALDATURA OP2,P081,N,0.8,220,220,18,18,93,71,0.87,13.3,0,1568862950
SALDATURA OP2,P050,N,0.8,150,0,16.3,0,33,602,0.05,0,0,1568846673
SALDATURA OP1,P056,N,0.72,230,0,19.6,13.6,0,97,0.08,2,0,1568822994
SALDATURA OP1,P009,N,0.8,220,213,18,17.6,93,216,0.63,13.3,0,1568836598
SALDATURA OP2,P039,N,0.8,220,220,18,16.6,107,489,1.53,13.3,0,1568829492
SALDATURA OP2,P045,N,0.8,220,219,18,17.7,107,471,2.79,13.3,0,1568318225
SALDATURA OP1,P080,N,0.8,220,221,18,17.8,107,86,2.23,13.3,0,1568845661
SALDATURA OP2,P066,N,0.5,150,0,14.4,0,36,44,0.06,0,0,1568818980
SALDATURA OP2,P066,N,0.5,150,0,14.4,0,30,44,0,0,0,1568819080
SALDATURA OP2,P039,N,0.8,220,224,18,16.7,104,75,0.11,13.3,0,1568829297
SALDATURA OP2,P071,N,0.5,150,0,14.4,0,15,38,0.06,0,0,1568300501
SALDATURA OP2,P008,N,0.8,220,209,18,17.8,85,75,0.28,13.3,0,1568301726
SALDATURA OP2,P009,N,0.8,220,206,18,18.2,78,266,0.54,13.3,0,1568827551
SALDATURA OP1,P094,N,0.8,220,221,18,17.8,104,340,0.74,13.3,0,1568303917
SALDATURA OP2,P009,N,0.8,220,214,18,17.9,73,72,0.39,13.3,0,1568827489
SALDATURA OP1,P005,N,0.8,220,219,18,16.2,76,67,0.45,13.3,0,1568821955
SALDATURA OP1,P109,N,0.8,220,231,18,15.9,100,1087,2.15,13.3,0,1568305189
SALDATURA OP2,P060,N,0.72,230,84,19.6,12.1,2,10,0.04,14,0,1568283024
SALDATURA OP1,P074,N,0.9,150,0,14.4,0,10,65,0.01,0,0,1568820421
SALDATURA OP2,P060,N,0.72,230,117,19.6,14,11,40,0.77,14,0,1568283224
SALDATURA OP1,P005,N,0.8,220,218,18,17.3,105,148,2.61,13.3,0,1568305979
SALDATURA OP1,P109,N,0.8,220,225,18,16.9,104,81,0.94,13.3,0,1568832947
SALDATURA OP2,P060,N,0.72,230,191,19.6,19.2,29,76,0.17,14,0,1568283524
SALDATURA OP2,P060,N,0.72,230,223,19.6,19.9,37,122,0.6,14,0,1568283624
SALDATURA OP2,P060,N,0.72,230,231,19.6,20.6,48,200,2.52,14,0,1568283724
SALDATURA OP1,P106,N,0.8,220,229,18,17.5,110,88,1.23,13.3,0,1568842323
SALDATURA OP2,P092,N,0.9,190,198,18,19.9,53,171,0.62,10.45,0,1568300202
SALDATURA OP1,P008,N,0.8,220,222,18,16.8,90,74,0.68,13.3,0,1568839499
SALDATURA OP1,P010,N,0.8,220,210,18,19.2,95,980,1.59,13.3,0,1568303107
SALDATURA OP2,P085,N,0.72,230,225,19.6,19.4,89,166,1.64,14,0,1568284224
SALDATURA OP2,P085,N,0.72,230,224,19.6,19.6,92,148,0.53,14,0,1568284324
SALDATURA OP2,P045,N,0.8,220,226,18,17.1,99,88,1.47,13.3,0,1568834697
SALDATURA OP2,P073,N,0.9,150,0,14.4,0,41,55,0.03,0,0,1568832169
SALDATURA OP2,P075,N,0.8,220,218,18,17.8,88,155,1.4,13.3,0,1568842312
SALDATURA OP1,P109,N,0.8,220,224,18,16.4,83,713,1.5,13.3,0,1568815331
SALDATURA OP2,P093,N,0.8,80,203,14.4,13.7,98,85,1.34,3.17,0,1568320973
SALDATURA OP2,P087,N,0.5,120,109,16.5,15.8,42,43,0.47,5.28,0,1568290592
SALDATURA OP1,P096,N,0.8,220,226,18,17.1,115,158,2.15,13.3,0,1568822017
SALDATURA OP1,P088,N,0.8,220,211,18,18.8,41,85,0.86,13.3,0,1568840425
SALDATURA OP1,P056,N,0.72,230,229,19.6,18.6,110,72,1.43,14,0,1568301246
SALDATURA OP1,P109,N,0.8,220,229,18,15.7,105,2126,0.06,13.3,0,1568827733
SALDATURA OP2,P087,N,0.5,120,117,16.5,16.6,47,45,0.11,5.28,0,1568827730
SALDATURA OP2,P062,N,0.72,150,0,14.4,0,77,68,0.14,7.46,0,1568285524
SALDATURA OP2,P062,N,0.72,150,0,14.4,0,67,68,0.11,0,0,1568285624
SALDATURA OP1,P102,N,0.5,190,206,17,15.7,81,74,1.06,10.45,0,1568303455
SALDATURA OP2,P006,N,0.8,220,210,18,18.8,92,212,1.04,13.3,0,1568284356
SALDATURA OP1,P096,N,0.8,220,222,18,17.5,97,110,2.29,13.3,0,1568827647
SALDATURA OP1,P072,N,0.5,80,185,14.4,16.3,81,78,0.9,0,0,1568819303
SALDATURA OP1,P044,N,0.8,150,0,14.4,0,62,77,0.08,0,0,1568866540
SALDATURA OP1,P005,N,0.8,220,209,18,18.1,92,93,1.1,13.3,0,1568829642
SALDATURA OP1,P071,N,0.9,190,198,17,16.1,60,74,1.11,10.45,0,1568813060
SALDATURA OP2,P007,N,0.8,220,212,18,18.1,94,92,0.49,13.3,0,1568301865
SALDATURA OP1,P088,N,0.8,220,1,18,12,0,57,0.1,2,0,1568297800
SALDATURA OP1,P005,N,0.8,220,222,18,16.8,100,73,1.69,13.3,0,1568817931
SALDATURA OP1,P088,N,0.8,220,104,18,10.6,5,54,0.21,13.3,0,1568298000
SALDATURA OP1,P088,N,0.8,220,99,18,12.8,10,47,0.78,13.3,0,1568298100
SALDATURA OP2,P037,N,0.8,220,223,18,16.6,95,83,2.21,13.3,0,1568822080
SALDATURA OP2,P044,N,0.8,220,221,18,16.9,98,85,0.46,13.3,0,1568322196
SALDATURA OP1,P031,N,0.8,220,231,18,16.1,102,269,2.45,13.3,0,1568821687
SALDATURA OP1,P088,N,0.8,220,209,18,17.2,41,557,1.15,13.3,0,1568298500
SALDATURA OP1,P088,N,0.8,220,218,18,18.9,52,164,2.34,13.3,0,1568298600
SALDATURA OP2,P042,N,0.8,220,225,18,17.2,96,77,1.07,13.3,0,1568841805
SALDATURA OP1,P071,N,0.9,190,106,17,12.1,10,46,0.09,10.45,0,1568297715
SALDATURA OP2,P045,N,0.8,220,218,18,18.7,92,197,2.2,13.3,0,1568850806
SALDATURA OP1,P088,N,0.8,220,227,18,18,88,94,0.32,13.3,0,1568299000
SALDATURA OP2,P085,N,0.72,230,227,19.6,19.7,84,87,1.15,14,0,1568821338
SALDATURA OP1,P065,N,0.4,120,16,16.5,12.4,0,55,0.16,2,0,1568814268
SALDATURA OP2,P045,N,0.8,220,213,18,18.4,94,77,2.59,13.3,0,1568860801
SALDATURA OP2,P111,N,0.8,220,212,18,18.1,98,88,1.05,13.3,0,1568839107
SALDATURA OP1,P089,N,0.8,220,226,18,17.4,102,69,0.36,13.3,0,1568299500
SALDATURA OP2,P009,N,0.8,220,212,18,17.1,82,79,1.93,13.3,0,1568824689
SALDATURA OP1,P089,N,0.8,220,226,18,17.5,97,97,1.95,13.3,0,1568299700
SALDATURA OP1,P089,N,0.8,220,217,18,17.6,97,88,0.81,13.3,0,1568299800
SALDATURA OP2,P035,N,0.8,220,222,18,17.2,99,79,0.27,13.3,0,1568830635
SALDATURA OP2,P004,N,0.8,220,0,18,5.8,0,84,0.02,2,0,1568812411
SALDATURA OP1,P088,N,0.8,220,0,18,10.9,0,55,0.02,2,0,1568301980
SALDATURA OP1,P109,N,0.8,220,229,18,15.8,106,357,0.79,13.3,0,1568818790
SALDATURA OP2,P087,N,0.5,120,112,16.5,16.4,45,47,0.18,5.28,0,1568832945
SALDATURA OP2,P115,N,0.8,220,228,18,17.5,105,89,0.2,13.3,0,1568829098
SALDATURA OP1,P090,N,0.8,220,229,18,17.1,101,315,1.25,13.3,0,1568816062
SALDATURA OP2,P092,N,0.9,190,184,18,18.3,33,117,1.69,10.45,0,1568824786
SALDATURA OP1,P031,N,0.8,220,225,18,16.7,109,1131,0.31,13.3,0,1568308289
SALDATURA OP1,P039,N,0.8,220,221,18,17.5,109,87,1.04,13.3,0,1568318267
SALDATURA OP1,P090,N,0.8,220,226,18,17,90,76,0.9,13.3,0,1568300900
SALDATURA OP2,P081,N,0.8,220,213,18,18.6,102,98,2.11,13.3,0,1568850236
SALDATURA OP1,P056,N,0.72,230,96,19.6,10.9,3,24,0.01,14,36.6,1568831270
SALDATURA OP1,P081,N,0.8,220,220,18,18.7,103,87,1.35,13.3,0,1568320640
SALDATURA OP2,P009,N,0.8,220,220,18,17.6,78,70,1.2,13.3,0,1568822580
SALDATURA OP2,P018,N,0.8,220,194,18,18.9,95,69,0.59,13.3,0,1568836362
SALDATURA OP1,P004,N,0.8,220,218,18,17.8,92,79,0.51,13.3,0,1568286028
SALDATURA OP1,P090,N,0.8,220,219,18,17.8,92,84,1.04,13.3,0,1568301600
SALDATURA OP1,P090,N,0.8,220,224,18,17.6,91,78,0.48,13.3,0,1568301700
SALDATURA OP2,P072,N,0.9,150,0,14.4,0,71,66,0.11,7.46,0,1568301273
SALDATURA OP1,P090,N,0.8,220,221,18,18.1,92,87,0.93,13.3,0,1568301900
SALDATURA OP2,P009,N,0.8,220,208,18,18.1,75,71,0.46,13.3,0,1568832285
SALDATURA OP2,P086,N,0.4,120,130,16.5,15.7,24,45,0.17,5.28,0,1568303018
SALDATURA OP2,P035,N,0.8,220,225,18,17.3,94,97,1.82,13.3,0,1568831591
SALDATURA OP1,P091,N,0.8,220,221,18,17.8,94,84,1.36,13.3,0,1568302300
SALDATURA OP2,P035,N,0.8,220,223,18,17.4,94,84,1.23,13.3,0,1568824609
SALDATURA OP2,P017,N,0.8,220,213,18,19.1,92,476,0.82,13.3,0,1568828348
SALDATURA OP1,P091,N,0.8,220,229,18,16.9,98,630,1,13.3,0,1568302600
SALDATURA OP1,P016,N,0.7,150,0,14.4,0,11,62,0.1,0,0,1568315296
SALDATURA OP1,P091,N,0.8,220,226,18,17.2,99,161,1.44,13.3,0,1568302800
SALDATURA OP2,P109,N,0.8,220,226,18,16.8,109,384,1.18,13.3,0,1568839464
SALDATURA OP2,P075,N,0.8,220,214,18,18.6,101,86,0.11,13.3,0,1568838845
SALDATURA OP1,P005,N,0.8,220,221,18,17,99,153,0.33,13.3,0,1568834499
SALDATURA OP2,P007,N,0.8,220,213,18,17.7,85,74,0.89,13.3,0,1568827503
SALDATURA OP2,P009,N,0.8,220,202,18,18.4,81,69,1.61,13.3,0,1568833573
SALDATURA OP2,P090,N,0.5,120,125,16.5,15.5,55,48,0.37,5.28,0,1568814386
SALDATURA OP1,P092,N,0.8,220,225,18,17.2,105,91,0.87,13.3,0,1568303500
SALDATURA OP2,P017,N,0.8,220,210,18,18.3,96,84,1.24,13.3,0,1568310190
SALDATURA OP1,P092,N,0.8,220,226,18,17.1,103,508,1.9,13.3,0,1568303700
SALDATURA OP2,P038,N,0.8,220,222,18,17.5,94,76,1.43,13.3,0,1568309111
SALDATURA OP2,P107,N,0.8,220,213,18,18.5,87,432,0.08,13.3,0,1568294074
SALDATURA OP2,P062,N,0.72,150,0,14.4,0,53,98,0.04,0,0,1568821229
SALDATURA OP1,P032,N,0.8,220,226,18,15.7,102,82,2.14,13.3,0,1568304984
SALDATURA OP2,P035,N,0.8,220,214,18,17.9,91,83,2.82,13.3,0,1568305826
SALDATURA OP2,P032,N,0.8,220,94,18,13,6,47,0.51,13.3,0,1568824117
SALDATURA OP1,P096,N,0.8,220,225,18,17,98,521,1.34,13.3,0,1568304400
SALDATURA OP1,P035,N,0.8,220,217,18,18.3,104,69,2.05,13.3,0,1568298078
SALDATURA OP2,P103,N,0.8,220,223,18,16.9,84,78,0.65,13.3,0,1568818261
SALDATURA OP2,P103,N,0.8,220,228,18,18,62,90,1.92,13.3,0,1568832548
SALDATURA OP1,P104,N,0.7,180,184,17.5,17,69,62,0.07,9.72,0,1568317732
SALDATURA OP1,P071,N,0.9,190,0,17,4.3,0,48,0.05,2,0,1568298754
SALDATURA OP1,P089,N,0.8,220,229,18,16.5,99,93,1.2,13.3,0,1568296391
SALDATURA OP1,P038,N,0.8,220,227,18,16.6,105,399,1.42,13.3,0,1568835425
SALDATURA OP1,P096,N,0.8,220,217,18,17,104,86,1.9,13.3,0,1568305200
SALDATURA OP2,P111,N,0.8,220,224,18,17,100,656,1.35,13.3,0,1568305058
SALDATURA OP1,P096,N,0.8,220,217,18,18.2,100,127,1.24,13.3,0,1568305400
SALDATURA OP2,P016,N,0.8,220,212,18,18.5,89,83,1.82,13.3,0,1568306036
SALDATURA OP1,P097,N,0.8,150,0,14.4,0,52,72,0.06,0,0,1568309512
SALDATURA OP1,P088,N,0.8,220,0,18,4,0,53,0.03,2,0,1568826089
SALDATURA OP2,P035,N,0.8,220,226,18,16.8,96,76,2.76,13.3,0,1568827822
SALDATURA OP2,P015,N,0.8,220,211,18,17.8,80,71,1.37,13.3,0,1568833351
SALDATURA OP1,P070,N,0.5,150,0,14.4,0,13,44,0.01,0,0,1568286605
SALDATURA OP2,P107,N,0.8,220,212,18,17.7,84,72,2.22,13.3,0,1568287977
SALDATURA OP1,P096,N,0.8,220,224,18,18.5,93,73,0.76,13.3,0,1568306200
SALDATURA OP2,P111,N,0.8,220,227,18,17.2,102,93,2.12,13.3,0,1568822585
SALDATURA OP2,P018,N,0.8,220,209,18,17.7,104,80,0.67,13.3,0,1568310157
SALDATURA OP2,P113,N,0.8,150,0,10,0,73,81,0.09,0,0,1568832410
SALDATURA OP1,P104,N,0.7,180,188,17.5,17.7,68,67,0.76,9.72,0,1568842842
SALDATURA OP1,P056,N,0.72,230,89,19.6,12.6,6,49,0.41,14,0,1568817437
SALDATURA OP1,P096,N,0.8,220,223,18,18,92,280,2.09,13.3,0,1568306800
SALDATURA OP2,P015,N,0.8,220,214,18,18.3,89,79,0.34,13.3,0,1568306431
SALDATURA OP1,P096,N,0.8,220,221,18,18.1,93,732,0.29,13.3,0,1568307000
SALDATURA OP2,P006,N,0.8,220,212,18,17.8,92,88,1.47,13.3,0,1568824830
SALDATURA OP1,P096,N,0.8,220,214,18,18.8,95,79,0.7,13.3,0,1568307200
SALDATURA OP2,P013,N,0.8,220,202,18,18.6,84,1170,0.44,13.3,0,1568834803
SALDATURA OP1,P027,N,0.8,220,93,18,12.7,9,55,0.11,13.3,0,1568297913
SALDATURA OP2,P045,N,0.8,220,223,18,17.4,100,80,2.05,13.3,0,1568324652
SALDATURA OP2,P105,N,0.8,220,215,18,19.2,94,76,0.39,13.3,0,1568825410
SALDATURA OP2,P085,N,0.72,230,217,19.6,19,109,112,2.15,14,0,1568296055
SALDATURA OP1,P094,N,0.8,220,222,18,18,94,77,1.4,13.3,0,1568307800
SALDATURA OP2,P039,N,0.8,220,221,18,17.5,94,78,0.12,13.3,0,1568318196
SALDATURA OP1,P073,N,0.5,150,0,14.4,0,14,70,0.09,0,0,1568820714
SALDATURA OP2,P057,N,0.72,150,0,14.4,0,18,101,0.04,0,0,1568296226
SALDATURA OP1,P094,N,0.8,220,223,18,17.5,92,88,0.38,13.3,0,1568308200
SALDATURA OP1,P094,N,0.8,220,225,18,17.9,91,241,1,13.3,0,1568308300
SALDATURA OP1,P062,N,0.8,220,217,18,17.6,94,73,0.88,13.3,0,1568838031
SALDATURA OP2,P044,N,0.8,220,218,18,17.8,83,82,0.09,13.3,0,1568849206
SALDATURA OP1,P094,N,0.8,220,220,18,17.9,94,1112,0.55,13.3,0,1568308600
SALDATURA OP1,P094,N,0.8,220,222,18,17.8,93,594,2.08,13.3,0,1568308700
SALDATURA OP1,P031,N,0.8,220,225,18,16.1,118,443,0.85,13.3,0,1568825816
SALDATURA OP1,P005,N,0.8,220,218,18,17,96,81,2.25,13.3,0,1568828027
SALDATURA OP2,P045,N,0.8,220,218,18,18,95,96,1.83,13.3,0,1568846891
SALDATURA OP1,P035,N,0.8,220,219,18,17.4,101,74,1.79,13.3,0,1568312774
SALDATURA OP1,P096,N,0.8,220,220,18,18.3,95,77,1.45,13.3,0,1568307926
SALDATURA OP1,P077,N,0.9,190,0,17,13.8,0,81,0.04,2,0,1568826817
SALDATURA OP1,P003,N,0.8,220,204,18,16.8,100,106,2.76,13.3,0,1568301032
SALDATURA OP2,P089,N,0.5,120,122,16.5,16.7,48,53,0.47,5.28,0,1568831649
SALDATURA OP2,P104,N,0.8,220,214,18,17.5,100,286,1.3,13.3,0,1568301466
SALDATURA OP1,P109,N,0.8,220,230,18,16.8,75,84,1.15,13.3,0,1568827969
SALDATURA OP1,P088,N,0.8,220,222,18,18.5,84,150,0.97,13.3,0,1568296817
SALDATURA OP1,P050,N,0.72,240,91,20.6,12.1,7,50,0.05,14,0,1568814195
SALDATURA OP2,P060,N,0.72,230,193,19.6,19,37,86,0.07,14,0,1568816564
SALDATURA OP1,P008,N,0.8,220,217,18,17.2,91,91,0.08,13.3,0,1568310179
SALDATURA OP2,P081,N,0.8,220,215,18,18.8,107,156,0.95,13.3,0,1568850264
SALDATURA OP2,P042,N,0.8,220,218,18,16.9,100,80,0.18,13.3,0,1568836822
SALDATURA OP2,P014,N,0.8,220,215,18,18.2,89,249,0.06,13.3,0,1568826148
SALDATURA OP1,P097,N,0.8,150,0,14.4,0,28,75,0.03,0,0,1568310500
SALDATURA OP1,P005,N,0.8,220,217,18,17.3,96,85,1.14,13.3,0,1568824225
SALDATURA OP1,P050,N,0.72,240,0,20.6,13.6,0,318,0.05,2,0,1568817591
SALDATURA OP2,P053,N,0.72,240,18,20,10.7,0,41,0.05,2,0,1568812048
SALDATURA OP1,P010,N,0.8,220,216,18,18.5,91,101,1.38,13.3,0,1568830948
SALDATURA OP1,P078,N,0.9,150,0,14.4,4.3,71,83,0.03,7.46,0,1568819964
SALDATURA OP2,P041,N,0.8,220,222,18,16.4,108,237,2.55,13.3,0,1568319052
SALDATURA OP2,P096,N,0.8,220,235,18,15.9,100,89,1.13,13.3,0,1568837249
SALDATURA OP1,P091,N,0.8,220,220,18,17.4,105,120,2.47,13.3,0,1568826803
SALDATURA OP2,P103,N,0.8,220,93,18,12.2,9,47,0.45,13.3,0,1568820783
SALDATURA OP1,P013,N,0.8,220,222,18,17.1,101,89,1.14,13.3,0,1568303823
SALDATURA OP2,P038,N,0.8,220,220,18,17,91,1040,1.05,13.3,0,1568829916
SALDATURA OP2,P090,N,0.5,120,125,16.5,15.3,57,47,0.3,5.28,0,1568295485
SALDATURA OP1,P010,N,0.8,220,220,18,18.6,102,97,2.37,13.3,0,1568829255
SALDATURA OP2,P071,N,0.5,150,0,14.4,0,14,40,0.08,0,0,1568827932
SALDATURA OP2,P038,N,0.8,220,223,18,16.9,93,2418,1.49,13.3,0,1568829355
SALDATURA OP1,P072,N,0.5,80,78,14.4,12.6,73,64,0.23,0,0,1568297372
SALDATURA OP2,P084,N,0.72,240,226,20,18.7,107,1425,1.03,14,0,1568813448
SALDATURA OP2,P090,N,0.5,120,123,16.5,15.4,53,48,0.36,5.28,0,1568297838
SALDATURA OP1,P066,N,0.72,150,0,14.4,0,44,90,0.08,0,0,1568815253
SALDATURA OP2,P041,N,0.8,220,222,18,16.5,114,599,1.43,13.3,0,1568829043
SALDATURA OP1,P037,N,0.8,220,225,18,17.1,97,480,2.14,13.3,0,1568313574
SALDATURA OP1,P063,N,0.8,220,218,18,17.7,91,111,0.54,13.3,0,1568843204
SALDATURA OP2,P106,N,0.8,220,225,18,17.3,105,235,2.2,13.3,0,1568306941
SALDATURA OP2,P038,N,0.8,220,222,18,16.9,98,78,0.66,13.3,0,1568826841
SALDATURA OP1,P005,N,0.8,220,223,18,16.6,101,95,1.1,13.3,0,1568818031
SALDATURA OP2,P054,N,0.72,80,221,14.4,18.5,110,149,1.05,0,0,1568814348
SALDATURA OP2,P086,N,0.4,120,129,16.5,16.6,31,53,0.45,5.28,0,1568301912
SALDATURA OP1,P053,N,0.72,150,0,14.4,2.6,97,98,0.1,7.46,0,1568821072
SALDATURA OP2,P019,N,0.8,220,208,18,17.5,100,530,1.71,13.3,0,1568316619
SALDATURA OP1,P080,N,0.8,220,213,18,19.6,101,73,2.77,13.3,0,1568284690
SALDATURA OP2,P055,N,0.72,150,0,14.4,0,61,194,0.06,0,0,1568814848
SALDATURA OP1,P003,N,0.8,220,217,18,17.2,98,900,0.76,13.3,0,1568285043
SALDATURA OP1,P013,N,0.8,220,215,18,17.5,94,88,1.29,13.3,0,1568836246
SALDATURA OP1,P103,N,0.9,190,199,17,15.7,57,79,0.37,10.45,0,1568295057
